Date,SEKAB3S1Y=,SEKAB3S18M=,SEKAB3S2Y=,SEKAB3S3Y=,SEKAB3S4Y=,SEKAB3S5Y=,SEKAB3S6Y=,SEKAB3S7Y=,SEKAB3S8Y=,SEKAB3S9Y=,SEKAB3S10Y=
2019-01-10,-0.06,0.001,0.065,0.195,0.325,0.462,0.6,0.732,0.852,0.96,1.055
2019-01-11,-0.069,-0.013,0.048,0.178,0.308,0.445,0.583,0.713,0.838,0.948,1.043
2019-01-14,-0.077,-0.024,0.033,0.16,0.29,0.425,0.563,0.698,0.82,0.93,1.028
2019-01-15,-0.075,-0.027,0.038,0.168,0.298,0.435,0.575,0.71,0.833,0.945,1.045
2019-01-16,-0.071,-0.021,0.05,0.183,0.32,0.463,0.603,0.74,0.865,0.978,1.078
2019-01-17,-0.071,-0.012,0.05,0.19,0.333,0.475,0.615,0.753,0.873,0.985,1.085
2019-01-18,-0.067,-0.006,0.068,0.203,0.345,0.488,0.631,0.766,0.889,1.001,1.101
2019-01-21,-0.058,-0.005,0.073,0.21,0.353,0.498,0.638,0.773,0.893,1.003,1.103
2019-01-22,-0.064,-0.004,0.062,0.2,0.34,0.482,0.622,0.755,0.877,0.987,1.085
2019-01-23,-0.059,-0.004,0.068,0.203,0.343,0.483,0.623,0.753,0.873,0.983,1.083
2019-01-24,-0.07,-0.009,0.055,0.183,0.313,0.45,0.585,0.718,0.835,0.943,1.045
2019-01-25,-0.068,-0.01,0.058,0.19,0.325,0.46,0.593,0.72,0.838,0.945,1.04
2019-01-28,-0.067,-0.009,0.063,0.195,0.33,0.465,0.597,0.73,0.843,0.95,1.045
2019-01-29,-0.062,-0.008,0.058,0.191,0.323,0.46,0.595,0.723,0.84,0.948,1.045
2019-01-30,-0.066,-0.01,0.05,0.178,0.308,0.44,0.572,0.698,0.815,0.921,1.017
2019-01-31,-0.063,-0.015,0.04,0.165,0.297,0.424,0.553,0.678,0.793,0.898,0.993
2019-02-01,-0.072,-0.015,0.05,0.173,0.3,0.428,0.55,0.683,0.79,0.895,0.998
2019-02-04,-0.07,-0.0164,0.05,0.173,0.305,0.435,0.563,0.69,0.808,0.913,1.008
2019-02-05,-0.068,-0.016,0.05,0.18,0.308,0.438,0.571,0.698,0.812,0.919,1.015
2019-02-06,-0.062,-0.0162,0.0397,0.165,0.298,0.428,0.558,0.683,0.798,0.903,1.0
2019-02-07,-0.07,-0.024,0.03,0.147,0.275,0.402,0.532,0.656,0.773,0.88,0.975
2019-02-08,-0.07,-0.033,0.018,0.13,0.248,0.368,0.493,0.615,0.73,0.835,0.933
2019-02-11,-0.0769,-0.0321,0.022,0.13,0.247,0.368,0.494,0.617,0.732,0.838,0.943
2019-02-12,-0.072,-0.0288,0.027,0.138,0.257,0.382,0.51,0.633,0.75,0.856,0.952
2019-02-13,-0.0614,-0.0125,0.053,0.162,0.293,0.418,0.543,0.664,0.778,0.883,0.978
2019-02-14,-0.053,-0.0042,0.05,0.168,0.288,0.408,0.53,0.648,0.758,0.86,0.955
2019-02-15,-0.043,0.0069,0.065,0.18,0.303,0.428,0.545,0.665,0.773,0.875,0.97
2019-02-18,-0.0361,0.0166,0.078,0.193,0.313,0.438,0.56,0.678,0.788,0.888,0.983
2019-02-19,-0.0589,-0.0123,0.05,0.153,0.27,0.388,0.513,0.633,0.745,0.848,0.948
2019-02-20,-0.057,-0.0087,0.036,0.141,0.251,0.369,0.492,0.609,0.722,0.824,0.919
2019-02-21,-0.053,-0.011,0.045,0.158,0.273,0.393,0.515,0.632,0.741,0.843,0.943
2019-02-22,-0.055,-0.002,0.042,0.148,0.264,0.38,0.501,0.618,0.728,0.83,0.925
2019-02-25,-0.052,-0.001,0.055,0.158,0.268,0.385,0.505,0.623,0.733,0.833,0.928
2019-02-26,-0.048,-0.006,0.052,0.157,0.265,0.38,0.498,0.613,0.723,0.825,0.92
